@epoch 192, train_loss : 581.034, dev_loss : 411.463, train_accuracy : 0.865, dev_accuracy : 0.7249
@epoch 193, train_loss : 510.828, dev_loss : 411.136, train_accuracy : 0.866, dev_accuracy : 0.7369
@epoch 194, train_loss : 511.459, dev_loss : 382.658, train_accuracy : 0.872, dev_accuracy : 0.7028
@epoch 195, train_loss : 576.523, dev_loss : 352.813, train_accuracy : 0.833, dev_accuracy : 0.7108
@epoch 196, train_loss : 574.773, dev_loss : 475.772, train_accuracy : 0.844, dev_accuracy : 0.6586
@epoch 197, train_loss : 735.528, dev_loss : 487.151, train_accuracy : 0.752, dev_accuracy : 0.6787
@epoch 198, train_loss : 600.925, dev_loss : 479.913, train_accuracy : 0.845, dev_accuracy : 0.6586
@epoch 199, train_loss : 593.669, dev_loss : 363.531, train_accuracy : 0.863, dev_accuracy : 0.7149
@epoch 200, train_loss : 571.521, dev_loss : 401.617, train_accuracy : 0.862, dev_accuracy : 0.7189
@epoch 201, train_loss : 594.369, dev_loss : 410.322, train_accuracy : 0.855, dev_accuracy : 0.6727
@epoch 202, train_loss : 546.454, dev_loss : 352.794, train_accuracy : 0.873, dev_accuracy : 0.7309
@epoch 203, train_loss : 535.186, dev_loss : 346.186, train_accuracy : 0.862, dev_accuracy : 0.7129
@epoch 204, train_loss : 517.574, dev_loss : 384.568, train_accuracy : 0.876, dev_accuracy : 0.6948
@epoch 205, train_loss : 564.112, dev_loss : 380.508, train_accuracy : 0.845, dev_accuracy : 0.7088
@epoch 206, train_loss : 567.599, dev_loss : 412.698, train_accuracy : 0.845, dev_accuracy : 0.6606
@epoch 207, train_loss : 530.025, dev_loss : 367.159, train_accuracy : 0.876, dev_accuracy : 0.7349
@epoch 208, train_loss : 524.26, dev_loss : 386.41, train_accuracy : 0.861, dev_accuracy : 0.7028
@epoch 209, train_loss : 535.123, dev_loss : 386.012, train_accuracy : 0.878, dev_accuracy : 0.6968
@epoch 210, train_loss : 560.228, dev_loss : 392.829, train_accuracy : 0.864, dev_accuracy : 0.7008
@epoch 211, train_loss : 531.801, dev_loss : 440.583, train_accuracy : 0.851, dev_accuracy : 0.6627
@epoch 212, train_loss : 512.178, dev_loss : 345.351, train_accuracy : 0.834, dev_accuracy : 0.7028
@epoch 213, train_loss : 615.228, dev_loss : 473.985, train_accuracy : 0.838, dev_accuracy : 0.6486
@epoch 214, train_loss : 759.196, dev_loss : 457.349, train_accuracy : 0.775, dev_accuracy : 0.6787
@epoch 215, train_loss : 631.162, dev_loss : 511.112, train_accuracy : 0.839, dev_accuracy : 0.6486
@epoch 216, train_loss : 570.128, dev_loss : 413.449, train_accuracy : 0.868, dev_accuracy : 0.7149
@epoch 217, train_loss : 617.241, dev_loss : 406.531, train_accuracy : 0.825, dev_accuracy : 0.7088
@epoch 218, train_loss : 814.802, dev_loss : 631.131, train_accuracy : 0.789, dev_accuracy : 0.5803
@epoch 219, train_loss : 562.299, dev_loss : 391.247, train_accuracy : 0.85, dev_accuracy : 0.7108
@epoch 220, train_loss : 650.73, dev_loss : 415.353, train_accuracy : 0.814, dev_accuracy : 0.7028
